"","species.m","animal","class.m","long.m","mass.m","BMR","noct.m","volant.m","fossorial.m","forage.m","BMR.q"
"79","Carollia_perspicillata","Carollia_perspicillata","Mammalia",0.471408656958158,-1.15041495368622,1.10554822821938,"nocturnal","volant","nonfossorial","volant","good"
"80","Castor_canadensis","Castor_canadensis","Mammalia",0.93601239763592,1.49763715620731,-1.02024349248677,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"81","Cavia_porcellus","Cavia_porcellus","Mammalia",-0.0350486434041453,0.275861740111571,-0.370426614703075,"crepuscular","nonvolant","semifossorial","terrestrial","good"
"82","Cercartetus_nanus","Cercartetus_nanus","Mammalia",-0.257174182590439,-0.790074017650953,0.121766960641534,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"83","Cercopithecus_mitis","Cercopithecus_mitis","Mammalia",1.63333832203758,1.19971440127988,-0.722353116237444,"diurnal","nonvolant","nonfossorial","arboreal","good"
"84","Cerdocyon_thous","Cerdocyon_thous","Mammalia",0.0473895387326148,1.08015943081036,-1.11342581414805,"nocturnal","nonvolant","nonfossorial","terrestrial","good"
"85","Cervus_elaphus","Cervus_elaphus","Mammalia",1.36823264083407,2.33900615360635,-1.11348215030561,"diurnal","nonvolant","nonfossorial","terrestrial","good"
"86","Chaetodipus_fallax","Chaetodipus_fallax","Mammalia",-0.571087891781195,-1.06941659107662,0.634466633837817,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"87","Chaetophractus_vellerosus","Chaetophractus_vellerosus","Mammalia",0.401320120733608,0.328434694870598,-1.11363708961974,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"88","Chaetophractus_villosus","Chaetophractus_villosus","Mammalia",1.04376950977284,0.796101867066668,-1.61151845798394,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"89","Cheirogaleus_medius","Cheirogaleus_medius","Mammalia",0.923531157026756,0.0370144806859514,-0.185985095960562,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"90","Chinchilla_lanigera","Chinchilla_lanigera","Mammalia",0.48841534910871,0.229962907305423,-0.412581145902027,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"91","Chironectes_minimus","Chironectes_minimus","Mammalia",-2.00311950099756,0.261452679160108,-0.729171789802021,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"92","Choloepus_hoffmanni","Choloepus_hoffmanni","Mammalia",1.60223434239046,1.06575036985889,-1.55187181600385,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"93","Coendou_prehensilis","Coendou_prehensilis","Mammalia",1.1223862557994,0.892490289771357,-1.11357299843826,"nocturnal","nonvolant","nonfossorial","arboreal","good"
"94","Colobus_guereza","Colobus_guereza","Mammalia",1.52143268896105,1.23658063738535,-1.09400715349963,"diurnal","nonvolant","nonfossorial","arboreal","good"
"95","Condylura_cristata","Condylura_cristata","Mammalia",-2.31590340779814,-0.671080757426518,1.17855241892184,"cathemeral","nonvolant","fossorial","terrestrial","good"
"96","Conilurus_penicillatus","Conilurus_penicillatus","Mammalia",-1.46122891432989,-0.319479467727255,-0.0169993075046287,"nocturnal","nonvolant","nonfossorial","semiarboreal","good"
"97","Connochaetes_taurinus","Connochaetes_taurinus","Mammalia",0.990888932998349,2.26721683075985,-1.43033806454593,"diurnal","nonvolant","nonfossorial","terrestrial","good"
"98","Cricetomys_gambianus","Cricetomys_gambianus","Mammalia",-0.553673844087147,0.541450710317178,-0.256896280238019,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"99","Cricetus_cricetus","Cricetus_cricetus","Mammalia",-1.78569204539112,0.142728429174128,-0.204777219574346,"crepuscular","nonvolant","semifossorial","terrestrial","good"
"100","Crocidura_flavescens","Crocidura_flavescens","Mammalia",-2.50178023789217,-0.746802419473009,0.607821115326023,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"101","Crocidura_leucodon","Crocidura_leucodon","Mammalia",-2.10009246775897,-1.26436089976988,1.31779744005749,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"102","Crocidura_suaveolens","Crocidura_suaveolens","Mammalia",-2.20399777472162,-1.39539755346324,1.46190732161719,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"103","Cryptomys_damarensis","Cryptomys_damarensis","Mammalia",0.337092713254156,-0.237500105974029,-0.33220693004704,"cathemeral","nonvolant","fossorial","terrestrial","good"
"104","Cryptotis_parva","Cryptotis_parva","Mammalia",-1.8266540668859,-1.59273525147471,1.51387788771566,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"105","Cuniculus_paca","Cuniculus_paca","Mammalia",0.410268183452127,1.19971440127988,-1.03751956708053,"nocturnal","nonvolant","semifossorial","terrestrial","good"
"106","Cynomys_ludovicianus","Cynomys_ludovicianus","Mammalia",-0.161568023640461,0.435760931031405,-0.777264309362997,"diurnal","nonvolant","semifossorial","arboreal","good"
"107","Cynopterus_brachyotis","Cynopterus_brachyotis","Mammalia",-0.285685990278927,-0.746802419473009,0.545106750932576,"nocturnal","volant","nonfossorial","volant","good"
"108","Dasycercus_cristicauda","Dasycercus_cristicauda","Mammalia",-0.737977871861259,-0.402097203161519,-0.42934262570101,"cathemeral","nonvolant","semifossorial","terrestrial","good"
"109","Dasyprocta_azarae","Dasyprocta_azarae","Mammalia",-0.0594871279623244,0.750526913625858,-0.498029776374308,"diurnal","nonvolant","nonfossorial","terrestrial","good"
"110","Dasyprocta_leporina","Dasyprocta_leporina","Mammalia",0.538273568521915,0.827199991375506,-0.312381598330674,"diurnal","nonvolant","nonfossorial","terrestrial","good"
